X,Y,scalerank,featurecla,name,natlscale
34.76,32.06,7,Port,Tel Aviv Yafo,10
10.25,36.8,7,Port,Tunis,10
5.08,36.75,7,Port,Bejaia,10
3.06,36.76,7,Port,Alger,10
-16.51,16.01,7,Port,St Louis,10
3.3,6.41,7,Port,Tin Can Island,10
40.73,-15.03,7,Port,Mocambique,10
42.75,13,7,Port,Assab,10
39.46,15.61,7,Port,Massawa,10
34.95,29.55,7,Port,Elat,10
47.96,29.38,7,Port,Al Kuwayt,10
72.83,18.83,7,Port,Bombay,10
72.93,18.95,7,Port,Jawaharlal Nehru Port,10
76.23,9.96,7,Port,Cochin,10
80.3,13.1,7,Port,Madras,10
88.31,22.55,7,Port,Calcutta,10
98.4,7.83,7,Port,Phuket,10
100.35,5.41,7,Port,Pulau Pinang,10
98.68,3.78,7,Port,Belawan,10
110.41,-6.95,7,Port,Semarang,10
123.58,-10.16,7,Port,Kupang,10
110.35,1.56,7,Port,Kuching,10
113.96,4.38,7,Port,Miri,10
116.06,5.98,7,Port,Kota Kinabalu,10
118.11,5.83,7,Port,Pelabuhan Sandakan,10
119.4,-5.13,7,Port,Ujungpandang,10
125.61,7.06,7,Port,Davao,10
